repository,total_commits,test_before,test_after,test_in_same_commit,tdd_rate
incubator-hugegraph-ai,119,1,78,21,0.8403361344537815
comdev-wwwsite,3,0,0,0,0.0
hunter,179,5,102,47,2.793296089385475
apisix-python-plugin-runner,55,0,35,14,0.0
incubator-liminal,166,2,111,42,1.2048192771084338
fluo-muchos,413,3,243,60,0.7263922518159807
kafka-merge-queue-sandbox,45,0,0,0,0.0
tashi,449,3,374,6,0.6681514476614699
diversity-site,10,0,0,0,0.0
kibble,8,0,1,1,0.0
usergrid-python,2,0,0,0,0.0
infrastructure-selfserve-portal,449,0,403,1,0.0
incubator-warble-node,29,1,5,2,3.4482758620689653
infrastructure-aardvark-proxy,106,0,0,0,0.0
lucene-jira-archive,161,1,63,0,0.6211180124223602
infrastructure-oauth,12,0,0,0,0.0
incubator-spot,738,0,0,0,0.0
infrastructure-otp,22,0,0,0,0.0
mxnet-ci,92,0,55,5,0.0
airavata-cookiecutter-django-app,16,0,0,1,0.0
dolphinscheduler-mlflow,8,0,0,0,0.0
infrastructure-gha-notifier,27,0,0,0,0.0
comdev-projects,2847,0,2307,2,0.0
infrastructure-testapp,13,3,7,0,23.076923076923077
pulsar-client-python,299,17,177,102,5.68561872909699
infrastructure-kif,35,0,0,0,0.0
airavata-mft-portal,38,0,3,2,0.0
infrastructure-loggy,46,0,0,0,0.0
incubator-ariatosca,190,5,77,102,2.631578947368421
chemistry-cmislib,117,12,64,37,10.256410256410255
incubator-resilientdb-python-sdk,121,5,78,7,4.132231404958678
kibble-scanners,180,0,0,0,0.0
infrastructure-pypubsub,137,0,0,0,0.0
infrastructure-jira-issues-importer,39,0,0,0,0.0
phoenix-queryserver,159,0,125,25,0.0
sdap-ningesterpy,29,1,10,14,3.4482758620689653
infrastructure-svnauthz,91,0,0,0,0.0
flink-jira-bot,66,0,0,0,0.0
trafficserver-qa,109,18,62,23,16.51376146788991
incubator-ponymail-unit-tests,157,43,92,10,27.388535031847134
datafusion-python,389,6,225,155,1.5424164524421593
airavata-django-portal-sdk,197,2,167,15,1.015228426395939
sdap-in-situ-data-services,242,7,186,23,2.8925619834710745
openwhisk-package-kafka,255,0,0,0,0.0
couchdb-infra-cm,60,0,0,0,0.0
infrastructure-commitbot,26,0,0,0,0.0
skywalking-python,317,3,229,85,0.9463722397476341
incubator-bluemarlin,205,5,96,28,2.4390243902439024
incubator-pagespeed-drp,42,0,38,2,0.0
guacamole-manual,1165,0,0,0,0.0
buildstream-plugins,214,4,127,18,1.8691588785046727
dolphinscheduler-ambari,7,0,0,0,0.0
shenyu-client-python,21,0,11,1,0.0
infrastructure-roundtrip,25,0,0,0,0.0
incubator-devlake-playground,23,0,7,4,0.0
dolphinscheduler-sdk-python,86,2,45,36,2.3255813953488373
infrastructure-uninstaller,6,0,0,0,0.0
openserverless-operator,100,0,63,7,0.0
flagon-distill,345,2,238,59,0.5797101449275363
beam-starter-python,48,0,3,3,0.0
rocketmq-client-python,322,28,199,37,8.695652173913043
airavata-django-portal-commons,14,0,0,0,0.0
infrastructure-reporting-dashboard,230,0,0,0,0.0
bloodhound-core,29,0,22,7,0.0
airflow-publish,17,0,8,3,0.0
infrastructure-asfquart,231,14,142,6,6.0606060606060606
paimon-python,36,2,13,17,5.555555555555555
infrastructure-mailstats,8,0,0,0,0.0
ignite-python-thin-client,76,3,27,43,3.9473684210526314
cloudstack-gcestack,335,2,283,28,0.5970149253731344
buildstream,8122,741,5095,830,9.123368628416646
infrastructure-github-event-notifier,76,0,0,0,0.0
infrastructure-gha-workflow-scanner,75,2,41,8,2.666666666666667
incubator-ponymail-foal,1743,20,1638,23,1.1474469305794608
airflow,27510,1432,15899,8926,5.205379861868412
infrastructure-blocky4,109,0,0,0,0.0
steve,843,31,762,16,3.6773428232502967
infrastructure-jira-to-pubsub,9,0,0,0,0.0
openwhisk-deploy-mesos,2,0,0,0,0.0
libcloud,10132,697,6632,1693,6.879194630872483
openwhisk-runtime-docker,827,0,679,2,0.0
openjpa-site,34,0,0,0,0.0
incubator-resilientdb-graphql,53,1,27,4,1.8867924528301887
sdap-edge,15,0,9,2,0.0
qpid-interop-test,235,46,125,60,19.574468085106382
cloudstack-documentation,570,0,0,0,0.0
incubator-flagon-userale-pyqt5,43,2,20,5,4.651162790697675
polaris,414,4,344,15,0.966183574879227
infrastructure-pypubsub-ldap,9,0,0,0,0.0
openwhisk-utilities,81,1,25,2,1.2345679012345678
cloudstack-ec2stack,344,13,212,69,3.77906976744186
infrastructure-asfpy,132,3,101,4,2.272727272727273
incubator-retired-wave-docs,10,0,0,0,0.0
openwhisk-composer-python,95,0,53,22,0.0
sdap-nexusproto,36,0,0,0,0.0
dubbo-python2,165,1,125,35,0.6060606060606061
openwhisk-runtime-rust,55,0,0,0,0.0
infrastructure-github-merge-queue-notifier,6,0,0,0,0.0
infrastructure-actions,235,1,140,1,0.425531914893617
sdap-ingester,233,8,153,62,3.4334763948497855
infrastructure-occ,47,0,0,0,0.0
airflow-ci-infra,146,0,3,1,0.0
incubator-datalab,13264,35,9905,40,0.26387213510253316
attic-site,852,0,0,0,0.0
infrastructure-ci-specs,14,0,0,0,0.0
infrastructure-blocky-client,52,0,0,0,0.0
infrastructure-pelican,299,1,228,6,0.33444816053511706
airavata-cookiecutter-django-output-view,10,0,0,0,0.0
qpid-dispatch,3500,403,2512,535,11.514285714285714
airavata-django-portal,2184,8,1801,35,0.3663003663003663
infrastructure-download-integrity-checker,71,1,56,3,1.4084507042253522
airflow-client-python,75,0,50,23,0.0
infrastructure-boxer,257,0,0,0,0.0
servicecomb-docs,450,0,0,0,0.0
incubator-retired-cotton,56,4,20,13,7.142857142857142
tvm,12753,644,5875,6195,5.049792205755509
infrastructure-shorten,4,0,0,0,0.0
dubbo-python,8,0,4,4,0.0
qpid-python,1057,201,620,220,19.01608325449385
sdap-nexus,275,1,211,43,0.36363636363636365
cloudstack-docs-rn,212,0,0,0,0.0
cassandra-dtest,5597,3779,341,224,67.51831338216901
infrastructure-github-discussions-notifier,26,0,0,0,0.0
datafusion-benchmarks,11,0,0,0,0.0
kibble-1,668,0,0,0,0.0
airflow-flask-openid-fork,87,0,25,2,0.0
cassandra-website,771,0,0,0,0.0
iceberg-python,1502,37,958,505,2.463382157123835
airflow-mssql-migration,3,0,0,0,0.0
nifi-python-extensions,13,0,0,0,0.0
allura,10799,853,7330,2460,7.898879525882026
airavata-custos,884,0,376,4,0.0
bloodhound,1238,84,976,136,6.78513731825525
infrastructure-gha-whitelist-manager,2,0,0,0,0.0
predictionio-sdk-python,122,3,82,14,2.459016393442623
